ReturnId,IsReceiptPresent,ReceiptId,ReturnDate,ReturnPrice,CustomerName,Street,City,State,CustomerPhone,CreditCardNum,CreditCardExpire,GiftCardNumber,EmployeeId,CustomerID
295,True,3611,2024-02-04 04:49:06.457564,846,Derrick Lewis DVM,6402 Bradley Meadows Apt. 433,Richardshire,Idaho,(381)640-8589,5713660504513450,2021-11-27 09:37:12.410783,117,84966,10021
6565,False,410,2024-04-07 13:47:42.587015,2431367,Mr. James Ramsey,875 Cynthia Spurs Suite 976,Lake Ashleyberg,Montana,3973540088,0254885798393695,2023-05-02 03:41:35.728972,1137,52272,10022
7354,True,9008,2024-01-17 04:21:19.724030,59961488,Tammy Hardy,7275 Jacqueline Roads,North Elizabeth,Tennessee,2384453102,3013320906976173,2023-09-02 02:09:09.189024,1468,19694,10023
5373,False,1437,2024-01-10 16:16:00.941094,425867,Jacqueline Swanson,3745 Sheppard Fords Suite 335,South Jennifer,Oregon,669-286-8043x290,4077594724705442,2023-08-04 05:23:58.581298,1215,61373,10024
4675,False,1866,2024-03-08 11:55:59.208373,40199035,Victor Sanchez,8703 Taylor Terrace,New Kimberly,South Dakota,(780)565-8367x2544,7080704481834388,2022-08-11 11:37:16.639342,3541,41845,10025
8977,True,9010,2024-01-24 10:41:18.830049,80357239,Derrick Coleman,393 Kent Circle Suite 815,New Anthonyland,Louisiana,+1-834-768-6882x4612,3060011012693080,2023-04-08 15:40:36.721838,5206,26093,10026
6675,False,7660,2024-03-04 14:15:23.458955,98011,Danny Shaw,0368 Mendez Plains,Port Jayton,Louisiana,001-272-243-0871x8089,3287959803830916,2024-01-14 12:29:18.988385,7236,26122,10027
6880,True,9483,2024-03-17 09:04:26.991997,2,Stephen Olsen,8535 Andrew Plaza Apt. 550,North Nicole,Colorado,001-800-457-0710,1453872332795218,2023-10-23 05:56:10.085362,7606,84034,10028
8936,True,6418,2024-01-05 08:03:21.348758,184,David Flowers,04072 Garcia Islands Suite 816,Lake Jennifer,Indiana,666-858-3844x49587,1452759791461460,2022-05-01 00:14:52.657350,1913,92530,10029
6737,False,100,2024-03-14 07:52:55.851657,13503.0,Timothy Harris,484 Steven Valley Suite 191,Nelsonton,Illinois,792.351.9336,9625524998823996,2020-06-29 16:33:45.829925,5788,40295,10030
4811,False,3041,2024-04-09 12:40:58.192384,85622,Corey Smith,7953 Kayla Rue,Carolinefort,Iowa,963-383-2308,8585756489761112,2023-06-23 02:19:49.750317,4528,54061,10031
7357,False,2755,2024-02-26 23:33:03.096858,57368528,Jean Arias,047 Owens Trace Suite 811,North Austinburgh,Kentucky,+1-944-886-1421,4859958397310808,2024-02-02 22:45:28.815754,6887,84034,10032
1669,True,5617,2024-01-30 04:58:26.749020,9880800,John Gonzalez,922 White Center Suite 061,Port Ashleyborough,New Jersey,(248)810-1446x272,8424148782996214,2023-03-17 08:43:02.716996,4893,52272,10033
9092,True,974,2024-01-21 05:14:58.974598,8067227,Cassandra Ford,392 Andrews Bypass,West Garrett,Georgia,+1-947-421-6854x722,6936217323139441,2020-11-20 07:51:05.239214,5768,84966,10034
8609,False,372,2024-02-16 09:15:10.590578,42,Daniel Johnson,140 Gross Glens Apt. 490,Andrewland,Georgia,(428)854-9953x3831,0962606386684507,2023-11-18 10:35:46.594670,6212,57258,10035
6983,False,7710,2024-03-14 18:43:54.926553,411,John Burke,46583 Davis Camp,Campbellmouth,Vermont,262-448-2626,4897786561302164,2021-09-26 08:27:18.801354,1614,69674,10036
5574,True,6114,2024-03-03 17:48:06.809670,7775165,Danny Schroeder,15702 Allen Land Apt. 934,North Ryan,Iowa,995-279-9212x68824,3131467871759076,2023-11-21 23:43:04.078626,8558,84966,10037
4215,False,6385,2024-02-06 09:40:09.318141,19065,Gabrielle Myers,64665 Daniel Harbor Suite 439,Candicefort,Florida,(910)338-7281,5725877632532842,2020-01-22 07:26:21.985117,3109,26122,10038
9361,True,3438,2024-01-03 16:27:42.641446,508441,Laura Bennett,174 Jane Lock Apt. 760,Lake Vanessamouth,Vermont,742-870-6879,2405124194790154,2021-11-22 08:15:34.459076,305,41845,10039
4551,True,832,2024-04-02 02:37:00.644509,77149,Gary Wu,330 Grant Spur Suite 650,Lake Pamelafort,Colorado,001-553-445-9953x79159,0370500925635220,2021-12-04 17:35:02.501810,3376,19694,10040
5038,False,3167,2024-01-06 21:28:44.758826,923728,Lindsay Hammond,785 Lauren Mission,South Andreafurt,New Jersey,610.786.3910x501,0797084255121574,2022-06-05 15:37:02.304093,9369,81344,10041
7168,True,7240,2024-03-24 22:10:16.409380,37721084,Michele Torres,00737 Jonathan Road Apt. 682,Smithside,South Dakota,001-562-209-9892x12705,1765615341638138,2023-09-13 22:21:06.384174,9129,81344,10042
3757,False,3786,2024-01-27 10:47:08.478120,4788,Austin Young,832 Reynolds Walk Suite 112,Jessicashire,Illinois,001-257-388-8151x941,9359428458709642,2020-06-08 01:06:34.174074,5015,92530,10043
726,True,9329,2024-03-09 23:11:24.515742,377623,Willie Rivera,985 Le Way,Freemanton,Wisconsin,7465790883,1550764251272462,2020-07-17 15:57:41.296711,6405,40295,10044
1657,False,5185,2024-03-05 09:01:23.615534,731,Amy Torres,4896 Colon Views,Brooketon,Hawaii,(249)705-3802,4181532674233783,2021-01-28 22:09:00.795830,1075,60657,10045
6597,True,7899,2024-03-06 21:37:38.694875,328585,Veronica Cox,81486 Joseph Alley Apt. 392,Ferrellmouth,Pennsylvania,001-804-580-6025x799,2143295870421122,2020-01-31 08:35:51.786944,4811,79023,10046
8566,False,2998,2024-03-04 02:23:57.397766,3.0,Zachary Heath,331 James Lodge,Harrisonfurt,Illinois,792-951-0963,3209671039731048,2023-07-14 08:30:06.390120,2735,61373,10047
5492,False,2459,2024-02-11 16:29:25.855302,6434782.5,Thomas Patterson,942 Stark Flats Apt. 685,North Samantha,Nevada,(704)789-0393x32582,4576404230784417,2021-05-10 22:41:39.909597,8634,69674,10048
7176,False,755,2024-01-07 06:10:55.166771,390010,Cheryl Pena,4790 Gibson Via Apt. 918,Lake Tonya,South Carolina,+1-427-908-6739x85911,7011491908728206,2021-10-27 22:18:26.603554,411,79023,10049
1009,True,6036,2024-02-09 00:33:29.867195,894,Melissa Coffey,458 Davis Fords,Johnsonville,Ohio,001-213-442-8938x115,6326818448208777,2021-02-26 11:58:45.119197,4502,69674,10050
9334,False,8674,2024-01-04 08:54:37.281801,36,Robert Erickson,284 Michael Trail,Meganstad,California,4993291221,8283673486971947,2021-03-27 05:18:05.522318,6005,41845,10051
7098,False,5521,2024-01-07 02:52:32.064497,9,Connor Mcmillan,96358 Troy Turnpike Suite 981,West Stephanie,Louisiana,967-463-0259x2848,0542021623503915,2024-03-23 09:24:34.287877,160,71186,10052
1100,False,5016,2024-04-08 18:36:41.253181,879.0,Teresa Carroll,604 Brittany Tunnel,West Andrea,Kansas,(504)295-6926,2272286701408552,2020-11-27 12:50:40.741642,498,60657,10053
5066,True,9908,2024-02-21 19:16:27.717520,9090,Kristen Herrera,7959 Janice Motorway,Ruthland,Washington,235.215.5780x4925,5481237910129098,2020-04-02 06:53:31.168921,6677,57258,10054
9022,False,8518,2024-03-31 18:41:04.677620,55,Nicholas Brown,7791 Joshua Isle Apt. 146,Williamsside,Oklahoma,+1-423-542-7059x803,6980006143167904,2024-03-23 13:37:34.299202,2967,52272,10055
2819,False,4763,2024-01-15 11:33:50.112237,8760237,Christopher Salas,927 Gary Ridges,Port Robert,Oklahoma,(921)204-2956x12700,2524996120097827,2022-10-30 01:25:40.151529,7542,79023,10056
7564,False,570,2024-03-05 10:49:18.774225,9,Mark Garcia,2483 Rodriguez Islands Apt. 874,East James,Minnesota,001-639-287-5803x3011,7482428990217789,2023-12-25 01:15:18.948356,3904,54061,10057
1239,False,1859,2024-03-16 22:03:20.139763,1348,Lisa Anderson,5798 Michael Dam Suite 075,East James,Colorado,818.449.0609x7034,4805993144483847,2021-11-20 05:27:45.800432,8487,97986,10058
2395,True,9450,2024-04-05 12:24:27.673730,96324111,Denise Barr,64617 Ryan Isle Suite 589,West Joshua,South Carolina,893-220-7639,7550373559120807,2021-01-04 15:27:44.328608,628,69674,10059
1844,True,2735,2024-02-04 05:00:51.961036,7,Tammy Moore,86112 Daniel Isle Suite 144,Harthaven,Illinois,001-818-482-6547x017,1696499822635252,2022-09-01 19:34:11.114914,6893,92530,10060
8871,True,6148,2024-01-09 01:35:27.440194,45097,Michael Walsh,527 Thompson Lock Suite 418,West Sarahchester,Ohio,001-475-634-8951,0895960307481135,2020-05-01 04:18:08.993965,6652,27935,10061
3275,True,1342,2024-01-10 00:49:14.758678,72008,Zachary Wright,36280 Harris Tunnel,Deanburgh,North Dakota,694.531.0441,6042415246264696,2020-09-12 17:48:14.389719,1537,80899,10062
7516,False,6184,2024-02-25 17:43:15.946158,3295065,Matthew Potter,263 Barry Loaf Suite 257,Karenland,Tennessee,609-967-4197,9668629740960412,2020-10-23 20:22:40.052750,9523,80899,10063
5532,True,2718,2024-01-08 17:10:31.293733,55006,Michael Ellis,525 Schultz Squares Apt. 970,Amyburgh,Oklahoma,990.649.5277x3785,9344592228029210,2020-01-25 10:47:57.123674,5010,28960,10064
316,False,4401,2024-02-13 08:56:19.791237,673999090,Brian Miller,557 Cristian Pine Suite 676,Jacobsonside,Virginia,995-969-5581x92504,4855523949960828,2020-01-14 04:48:33.669825,716,41845,10065
9328,False,2794,2024-01-20 16:23:58.117515,413285,Robert Lambert,560 Brandon Villages Suite 087,Pittmanmouth,Michigan,438-802-2276x77114,0814712580625374,2023-02-14 20:12:45.408443,1394,54061,10066
168,False,6611,2024-03-24 01:35:31.345478,998,Colleen Santos,8400 Mcmillan Station Apt. 676,East Michaeltown,Wisconsin,666.596.0309,2416263385569398,2021-10-16 09:04:50.820164,775,92530,10067
9792,True,6632,2024-03-13 20:08:25.635719,6006922,Sean Martin,13308 Marcus Mount Apt. 995,Lake Aaron,Oklahoma,(959)871-8030x32788,8895179610380749,2023-11-22 08:46:37.549651,9493,94877,10068
4888,False,212,2024-01-26 12:10:56.111433,31536370,Taylor Lane,7740 David Union,Millermouth,South Carolina,975-523-9875,4030904522092035,2024-02-01 23:47:55.532427,4461,61373,10069
1209,True,6622,2024-03-20 14:06:21.534422,558510,John Reeves,4170 Hansen Stravenue,North Michaelside,Pennsylvania,(681)915-6085,5839535575137845,2022-07-28 07:24:33.074911,5185,69674,10070
7344,True,378,2024-04-02 10:57:32.008908,42,Dr. Lindsey Gonzalez,1003 Woodward Rapid Suite 063,Danaland,North Carolina,792.894.0736x2714,9640914267300643,2020-01-18 00:35:33.219796,4031,57258,10071
9044,False,6027,2024-03-30 04:24:19.590559,116775,Bernard Hall,834 Castillo Crest,South Teresamouth,Wyoming,4278304540,7544397993303087,2021-07-21 03:54:35.245497,8374,27935,10072
8896,True,3993,2024-04-06 13:15:29.000247,44078608,Jorge Higgins,905 Allison Garden,Port Bruce,Rhode Island,+1-991-584-9008x35301,5382297443870297,2023-07-14 10:46:22.598619,8886,80899,10073
5544,False,9828,2024-04-06 16:07:34.894315,891588257,Latoya Butler,75605 Heather Views,North Teresa,Wisconsin,411.354.5161,7347406201925067,2023-05-11 04:46:36.658731,958,40295,10074
480,True,6950,2024-03-15 08:16:59.010573,76818,Glenn Moore,325 Reed Landing,Ruizside,New Mexico,(340)484-6225x23287,6592166608225726,2021-08-25 08:25:05.275977,5746,81344,10075
452,False,4155,2024-04-08 23:00:56.217961,15699920,Cassandra Thompson,81071 Williams Keys Apt. 669,Jeremyport,North Dakota,911.875.8196x8992,2935042326503085,2020-01-24 03:58:19.289467,269,79023,10076
7325,True,4110,2024-03-16 10:40:19.210147,672015,Victor Washington,869 Derek Neck,South Rebeccafurt,South Carolina,874.271.8561x536,6893940234102585,2023-03-25 14:40:35.493313,4574,60657,10077
2313,False,782,2024-03-30 22:05:24.754779,108189.0,Benjamin Franklin,452 Anita Route Suite 886,Campbellton,New Mexico,773.704.7611x51849,3914129465408091,2022-02-16 21:01:55.059304,4894,61373,10078
619,False,9790,2024-01-18 13:51:10.384165,58207,Jeremiah Cox,000 Wesley Inlet Suite 062,Lake Christopher,South Carolina,001-349-674-3547x86850,9513604030072338,2022-01-29 03:34:37.524319,4741,41845,10079
9119,False,9449,2024-02-26 19:26:02.746002,843968,Jessica Taylor,544 Williams Spur Suite 245,East Billyview,New Mexico,269-406-5780,3199182638155887,2023-04-14 20:45:14.443130,1353,80899,10080
7677,True,1308,2024-03-29 01:23:44.105107,8671846,John Alexander,22257 Samuel Brooks Suite 772,Jamesmouth,Montana,9352816650,2159991879901332,2023-09-26 09:54:23.314459,5709,29733,10081
1154,False,5262,2024-02-09 10:57:02.648848,6,Glenn Gibson,14897 House Port Apt. 047,North Joshuaville,Maine,(245)775-5775x828,4945740990132262,2020-03-07 18:46:21.226592,665,92530,10082
2696,True,3871,2024-03-27 02:42:46.575754,32696226,Rachel Hughes,244 Russell Loop Apt. 497,New Joseph,Connecticut,235-368-8752x81925,0635925888715457,2022-06-26 11:54:06.696328,7478,79023,10083
3530,False,4472,2024-03-04 19:02:14.238075,4530,Catherine Sexton,355 Brenda Lake Suite 766,Anthonyburgh,Nebraska,+1-584-599-6964x26958,7525628113200500,2022-09-13 16:49:21.892751,7528,40295,10084
2276,False,8025,2024-02-07 16:45:36.868772,34647238,Amber Miller,0997 Monica Point Apt. 152,West Jessicaburgh,New York,484.844.4594x357,7652411207220008,2022-03-24 05:18:21.257950,125,97986,10085
5644,False,5309,2024-02-18 22:19:22.246573,14726,Carly Parsons,3695 Maxwell Rapids,Escobarmouth,Colorado,583.238.2568,9692364086758492,2022-06-05 21:28:44.158796,796,52272,10086
5712,True,9482,2024-01-21 03:03:18.089150,9094332,Paula Miller,7190 Garza Terrace Apt. 954,South Matthewland,Nebraska,7577036934,6956977033277539,2022-08-28 01:11:35.841713,405,54061,10087
2936,True,3367,2024-02-04 08:17:27.309759,59360,Ashley Garcia,13113 Tristan Mountain Suite 521,Lake Amandaborough,North Carolina,+1-690-260-1367x3193,9418019505356238,2023-09-25 00:12:13.721464,372,54061,10088
8827,False,4037,2024-03-25 14:04:45.880647,12,Colleen Rivera,0042 Thomas Landing Suite 312,Stephaniefort,Alaska,(491)372-0444,1581982306837286,2020-03-07 16:09:49.371648,6461,81344,10089
8150,False,6515,2024-03-15 21:43:17.537923,7365,Michael Wilson,59605 Mary Inlet,Thompsonside,North Carolina,377-627-8502x4136,9103545616631477,2023-12-26 23:38:56.231887,784,79023,10090
7386,False,2964,2024-03-26 06:56:24.678689,64274,Stephanie Walker,781 Davis Key Apt. 503,Lake Jane,Louisiana,001-593-329-1051,7999350598090684,2022-07-30 15:00:08.403400,3553,79023,10091
7443,True,906,2024-02-26 13:15:08.566801,4152,Nicholas Chambers,76697 Edwin Village Suite 322,Rollinsberg,Wisconsin,752.922.9676x770,4969315435470178,2020-01-22 14:55:25.457715,9202,41845,10092
8360,True,9999,2024-03-16 15:53:13.516959,3428,Reginald Swanson,331 Derrick Summit Apt. 448,Lake Joshuaview,Colorado,+1-466-888-2787x137,3724644815147942,2024-03-30 15:30:00.939852,1746,92530,10093
4000,False,3664,2024-04-10 01:59:24.255889,35421,Stephanie Scott,6043 Lang Shores Apt. 293,Port Kayla,Florida,+1-476-657-9244x0850,5542912518577750,2023-01-25 14:59:06.150288,1015,79023,10094
7682,True,5185,2024-02-08 15:13:36.670164,870,Chad Knight,5924 Williams Wall,Catherinemouth,Maryland,+1-963-697-6620,9007831551384163,2024-02-13 11:06:44.636171,5665,71186,10095
763,False,7193,2024-03-05 01:20:42.261612,84,Stephen Ford,211 Stanton Extensions Suite 869,West Maria,Iowa,(582)957-2836x6721,2805488852856803,2020-07-05 02:42:53.590035,9092,84966,10096
609,True,231,2024-04-11 01:16:30.512370,52430656,Janice Barnes,44354 Ibarra View Suite 157,Castillobury,Minnesota,+1-775-618-9956,5704261919608000,2021-04-18 06:33:14.704500,6281,79023,10097
7472,False,6621,2024-02-29 08:16:03.654090,49,Brooke Owen,21028 Justin Isle Suite 873,Tonyachester,Florida,(786)657-4466x552,7708727671315148,2021-01-21 17:55:55.182892,5493,71186,10098
7476,False,9724,2024-03-25 17:15:01.956772,1910971,Carolyn Dawson,55967 Riley Pines,Braunbury,Mississippi,5329137679,4397700230566312,2022-06-01 05:08:16.677489,7698,26093,10099
5293,False,2802,2024-01-15 15:24:05.943506,2,Shannon Romero,013 Rachel Parkway,Chelseamouth,New Jersey,640.205.0741x8790,8108715674488003,2023-05-11 01:37:54.223668,7859,52272,10100
5114,False,5443,2024-02-11 10:45:29.552984,45873791,David May,220 Smith Wall,Jenniferbury,Ohio,(767)524-9285,2473168524392235,2021-10-23 12:22:56.519473,4163,71186,10101
5414,True,5895,2024-02-05 04:17:27.273581,6,Jeremy Bender,358 Ford Meadows,North Ronald,Alabama,+1-696-998-7780x823,3827759225273227,2021-02-14 13:34:04.029617,5517,29733,10102
8903,False,5719,2024-03-27 10:40:33.222476,133715851.5,Cody Rojas,0226 Rhonda Stream,West Ruben,Montana,+1-250-368-6902x0170,1469697761358580,2020-12-09 13:53:28.412620,3278,84966,10103
962,False,1335,2024-01-01 20:00:40.424437,44103866,Kevin Brown,505 Stewart Village,Reyesstad,Maine,6168367609,3040886939512825,2020-07-22 14:38:28.980842,9796,52272,10104
4518,False,7997,2024-02-01 23:01:35.575808,254,Daniel Thornton,138 Kelley Stream,Lake Amberside,West Virginia,(578)734-1454x96154,0411813305142941,2021-07-26 15:14:04.505378,2948,79023,10105
9986,True,9105,2024-04-07 16:17:57.608966,75069,Jocelyn Doyle,8708 Bryan Spurs Suite 445,Tylerburgh,Utah,845.723.9967,4168286544348358,2024-01-24 13:35:34.045363,2154,41845,10106
12,True,2483,2024-02-24 00:19:14.017020,162137,Steven Wallace,11533 Reed Underpass,South Michele,Oklahoma,(630)448-4078x21234,3986331680408064,2020-09-27 19:54:01.304179,4923,52272,10107
2619,True,7586,2024-01-15 22:22:38.056277,73507816,Gregory Arias,848 Davis Burg,West Michael,Louisiana,642.962.3807x664,3671710280456929,2022-08-25 06:12:43.853332,2689,92530,10108
3311,False,5939,2024-04-05 19:01:25.903030,47393,Rebecca Wilson,150 Brady Forge,Davidtown,Missouri,806.926.2760x50920,3396883729186444,2021-08-20 18:07:28.999227,5320,81344,10109
5301,False,8570,2024-02-07 16:06:27.141451,35876293,Jordan Clayton,95649 Amanda Road,South Michael,Georgia,350-317-8590x677,3283691294243866,2022-12-14 23:27:23.622768,4910,84034,10110
1619,True,9626,2024-01-30 00:19:41.835638,313,Anita Daniel,6294 Bullock Isle Apt. 612,Port Brittanyfort,Wisconsin,001-900-715-5273,4628496105216524,2021-11-12 19:41:37.697029,3763,81344,10111
6307,False,7155,2024-02-26 15:54:11.754715,891576.0,Steven Miller,2631 Navarro Spur,South Shannonville,Hawaii,+1-544-417-5956x818,4616268483356666,2023-07-11 05:18:46.708944,1228,40295,10112
3935,False,2461,2024-03-16 15:38:23.615465,60583,Jeremy Green,297 Ewing Mountains,West Miguelside,Illinois,+1-339-744-3830x292,5504054245290804,2021-08-31 04:33:41.586490,9919,92530,10113
4440,True,3469,2024-01-25 15:43:58.261471,12,Elizabeth Weaver,75279 Medina Loaf,West Robert,New Hampshire,001-707-791-0500,7669346861898191,2021-06-07 04:47:02.363960,5456,79023,10114
3135,False,2314,2024-03-26 12:38:38.900061,1002,Jason Chavez,148 Griffin Road Apt. 256,North Carol,Louisiana,556.501.3927,9592114459370509,2021-10-23 01:04:44.029569,672,61373,10115
4149,True,8338,2024-03-09 01:28:25.102388,828,Christine Hess,65359 Clarke Circle,Port Laura,Utah,510-738-8575x9814,7945492830046055,2020-01-01 14:49:55.925591,760,97986,10116
3774,False,7256,2024-01-29 22:49:10.316450,8586,Thomas Faulkner,971 Mary Station,Denisehaven,Delaware,(285)461-7325x8141,1341550588592533,2022-11-30 19:33:17.094350,6525,60657,10117
8730,True,3248,2024-02-17 07:47:11.529660,4894,Sarah Espinoza,941 James Prairie Apt. 983,North David,Illinois,+1-583-740-1799x4791,4401170232788968,2024-01-21 07:51:04.714353,1344,41845,10118
5258,False,1070,2024-03-16 06:06:38.733807,22859632,Shawn Hicks,3971 Katherine Heights Apt. 305,East Johnstad,Pennsylvania,734-586-9952x74375,8887779582356369,2020-04-24 01:45:03.204587,1529,52272,10119
9985,False,9464,2024-02-22 09:22:03.359891,3450744,Dawn Freeman,792 Andrew Estates Apt. 720,Garnerview,Indiana,984.339.1890,7080306457867053,2020-05-30 01:14:09.535970,7553,84034,10120
2561,True,2134,2024-02-15 16:44:09.343531,4,Monica Ward,81314 Jessica Junctions,South Amanda,Ohio,(870)229-9343,8857586273490304,2024-03-07 01:05:10.412533,2656,57258,10121
4378,False,5208,2024-01-02 10:12:58.103011,9384,Caroline Gray,51792 Flores Hills Apt. 965,South Mckenziehaven,Kentucky,651-225-6497x4451,6205556383481143,2022-09-21 09:58:01.915171,7984,52272,10122
5380,True,108,2024-01-03 06:01:21.064952,7834,William George,8688 Jason Coves,Sullivanland,Delaware,001-793-307-1508x3862,9454263906939233,2020-05-02 13:07:56.172991,3119,28960,10123
3254,False,6857,2024-02-28 06:27:49.051272,621,Robin Davis,823 Russell Parkway Apt. 078,Hintonborough,Rhode Island,3189924866,8851818355576431,2020-02-06 01:22:22.329240,8545,19694,10124
5205,True,4401,2024-01-11 03:10:39.841594,265363380,Timothy Adams,7874 Tran Knolls,Clarkmouth,Wisconsin,483-620-6852x40670,1602719913290914,2020-05-05 16:23:17.756766,1818,84966,10125
7891,False,3484,2024-01-19 02:11:43.788545,5764019,Alyssa Mathews,5878 Jones Circles,Martinezchester,Louisiana,001-659-256-7841x7154,6498389153611937,2021-07-13 11:36:22.755241,8341,52272,10126
1809,True,6385,2024-04-10 07:28:02.268811,24,Aaron Hunt,83742 Diane Summit,West Kathryn,South Dakota,+1-568-644-7117,6930170098901796,2021-06-21 18:27:47.188496,3948,81344,10127
8368,False,5520,2024-01-30 14:12:01.913657,9,Michael Kramer,8112 Nichols Locks,West Nancyport,Iowa,263-914-1381x32351,9545223643307593,2020-07-03 11:10:45.101360,6934,26122,10128
1871,False,5728,2024-02-22 16:43:43.054268,4734156.0,Karen Mills,02977 Robert Stravenue,Danielmouth,California,001-807-947-6054x2516,4736259323949444,2022-09-17 04:57:50.758636,1162,92530,10129
6272,False,6014,2024-03-26 06:14:58.032721,1290690993.0,Krista Campbell,9851 Jessica Junction,South Jasonbury,Delaware,(917)938-1185,9372895554866203,2020-02-19 00:26:03.040402,533,54061,10130
8277,False,3472,2024-01-10 12:29:53.516585,36819720,Russell Marshall,0282 Dunlap Alley,Clarkfurt,Wyoming,(647)609-5902,6215451153051569,2023-10-03 09:45:37.514380,7963,81344,10131
478,True,5409,2024-03-19 08:30:26.320898,649,April Burton,0776 Joshua Burg,Robertsonmouth,Rhode Island,(208)960-4462,5807884416756944,2020-10-30 09:32:58.509684,4794,40295,10132
5169,False,3694,2024-03-03 21:41:52.720667,6,Joseph Ellis,9314 Danielle Extensions Apt. 895,Williamston,California,574-503-6958x50418,4271813902715743,2023-04-07 14:55:22.133842,3647,97986,10133
5831,False,5917,2024-01-22 17:35:32.639383,135,Anna Becker,66447 Murillo Mission,Rodriguezfort,California,(947)798-2407x982,2940941380745682,2024-03-16 19:20:34.373334,5888,69674,10134
